date,district,pm25,pm10,no2,o3,so2,no,co,nh3,hcho,chocho,nmvoc,pans,dust,pm10_sea_salt,pm_wildfire,ec_residential,ec_total,pm25_nh4,pm25_no3,pm25_so4,pm25_om,sia,pm25_lag1,pm25_lag2,pm25_lag3,pm25_lag4,pm25_lag5,pm25_lag6,pm25_lag7,pm10_lag1,pm10_lag2,pm10_lag3,pm10_lag4,pm10_lag5,pm10_lag6,pm10_lag7,no2_lag1,no2_lag2,no2_lag3,no2_lag4,no2_lag5,no2_lag6,no2_lag7,o3_lag1,o3_lag2,o3_lag3,o3_lag4,o3_lag5,o3_lag6,o3_lag7,so2_lag1,so2_lag2,so2_lag3,so2_lag4,so2_lag5,so2_lag6,so2_lag7,no_lag1,no_lag2,no_lag3,no_lag4,no_lag5,no_lag6,no_lag7,co_lag1,co_lag2,co_lag3,co_lag4,co_lag5,co_lag6,co_lag7,nh3_lag1,nh3_lag2,nh3_lag3,nh3_lag4,nh3_lag5,nh3_lag6,nh3_lag7,dust_lag1,dust_lag2,dust_lag3,dust_lag4,dust_lag5,dust_lag6,dust_lag7
2025-01-01,Charlottenburg-Wilmersdorf,8.402449607849121,10.911200523376465,7.173549652099609,55.97775650024414,1.529468059539795,0.22135283052921295,164.5178680419922,0.4922395646572113,0.5104823112487793,0.015271514654159546,14.117663383483887,0.7034433484077454,1.2127400636672974,0.30858632922172546,0.0076356325298547745,0.08135771006345749,0.20617927610874176,0.7866827845573425,1.6203876733779907,1.0021499395370483,1.9458695650100708,3.3316650390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,Friedrichshain-Kreuzberg,8.459352493286133,10.878231048583984,7.839927673339844,55.59645462036133,1.5451375246047974,0.21103449165821075,167.66482543945312,0.5173289775848389,0.5251854658126831,0.015411215834319592,15.11227798461914,0.6996338367462158,1.1861940622329712,0.30261915922164917,0.0076388525776565075,0.08076625317335129,0.2075032740831375,0.8130791187286377,1.6751960515975952,1.028499722480774,1.9627395868301392,3.4523820877075195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,Lichtenberg,8.556941032409668,10.695079803466797,7.531907558441162,55.70072555541992,1.5509902238845825,0.17779189348220825,168.9120330810547,0.5030176043510437,0.5264766812324524,0.015421904623508453,14.66883373260498,0.6976993083953857,1.188666820526123,0.3020566403865814,0.007379745598882437,0.08168503642082214,0.20535022020339966,0.8115606307983398,1.7028107643127441,1.017227053642273,1.9408024549484253,3.473506212234497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,Marzahn-Hellersdorf,8.58707046508789,10.544561386108398,6.712380886077881,56.11909103393555,1.3060886859893799,0.12790967524051666,169.99322509765625,0.45422911643981934,0.5210123062133789,0.015412748791277409,13.19983196258545,0.6997326016426086,1.1896332502365112,0.29181531071662903,0.006914107594639063,0.08254436403512955,0.20622365176677704,0.8020735383033752,1.702916145324707,0.9934946894645691,1.9348783493041992,3.4605798721313477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,Mitte,8.402449607849121,10.911200523376465,7.173549652099609,55.97775650024414,1.529468059539795,0.22135283052921295,164.5178680419922,0.4922395646572113,0.5104823112487793,0.015271514654159546,14.117663383483887,0.7034433484077454,1.2127400636672974,0.30858632922172546,0.0076356325298547745,0.08135771006345749,0.20617927610874176,0.7866827845573425,1.6203876733779907,1.0021499395370483,1.9458695650100708,3.3316650390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,Neukölln,8.763748168945312,11.449200630187988,6.669807434082031,57.13552474975586,1.331591010093689,0.19298221170902252,170.30799865722656,0.480958491563797,0.5224586725234985,0.015615958720445633,13.356627464294434,0.714648962020874,1.273453712463379,0.2966013252735138,0.007519530598074198,0.0812544897198677,0.21845509111881256,0.8451051712036133,1.723852515220642,1.0290230512619019,2.0227949619293213,3.61715030670166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,Pankow,8.459352493286133,10.878231048583984,7.839927673339844,55.59645462036133,1.5451375246047974,0.21103449165821075,167.66482543945312,0.5173289775848389,0.5251854658126831,0.015411215834319592,15.11227798461914,0.6996338367462158,1.1861940622329712,0.30261915922164917,0.0076388525776565075,0.08076625317335129,0.2075032740831375,0.8130791187286377,1.6751960515975952,1.028499722480774,1.9627395868301392,3.4523820877075195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,Reinickendorf,8.402449607849121,10.911200523376465,7.173549652099609,55.97775650024414,1.529468059539795,0.22135283052921295,164.5178680419922,0.4922395646572113,0.5104823112487793,0.015271514654159546,14.117663383483887,0.7034433484077454,1.2127400636672974,0.30858632922172546,0.0076356325298547745,0.08135771006345749,0.20617927610874176,0.7866827845573425,1.6203876733779907,1.0021499395370483,1.9458695650100708,3.3316650390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,Spandau,8.174094200134277,10.593300819396973,5.949967861175537,56.624088287353516,1.33316171169281,0.18086397647857666,157.80819702148438,0.4225751459598541,0.5031328797340393,0.015472899191081524,12.522468566894531,0.7024897933006287,1.1784871816635132,0.3109281361103058,0.007849573157727718,0.08193392306566238,0.2026718258857727,0.7434148788452148,1.5412120819091797,0.9647735953330994,1.9159183502197266,3.220709800720215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,Steglitz-Zehlendorf,7.981197357177734,10.09744644165039,4.999548435211182,57.453094482421875,0.9409615993499756,0.14217419922351837,161.26499938964844,0.4081549346446991,0.5072338581085205,0.015634629875421524,12.429499626159668,0.7097945809364319,1.142351508140564,0.30505838990211487,0.007653933018445969,0.08102235943078995,0.20191210508346558,0.7777187824249268,1.6012288331985474,0.9870011210441589,1.9217720031738281,3.332512855529785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
