district,target,rmse,mae,r2,n_train,n_test
Charlottenburg-Wilmersdorf,code_06_breathing,2.9358532010446146,2.668142458860715,-1.6056216293606282,292,73
Charlottenburg-Wilmersdorf,code_09_cardiac_arrest,0.3430632445908815,0.2579679201905518,-0.40354194894737416,292,73
Charlottenburg-Wilmersdorf,code_10_chest_pain,1.7428122874274063,1.3253959070320107,-1.2587988808020114,292,73
Charlottenburg-Wilmersdorf,code_17_falls,4.1355335708511305,2.810842514368518,-0.5817237849697363,292,73
Charlottenburg-Wilmersdorf,code_19_heart_problems,0.9670042723705954,0.777618807942011,-0.2119356956984808,292,73
Charlottenburg-Wilmersdorf,code_28_stroke_tia,0.8758404169766896,0.7246940017081079,-0.15391034211662946,292,73
Friedrichshain-Kreuzberg,code_06_breathing,1.4800945311189169,1.1859037880618035,-0.32380610941586396,292,73
Friedrichshain-Kreuzberg,code_09_cardiac_arrest,0.3514679890523644,0.27810786943898863,-0.34850381070939074,292,73
Friedrichshain-Kreuzberg,code_10_chest_pain,1.1479960044434583,0.9125825766945886,-0.6921375567532484,292,73
Friedrichshain-Kreuzberg,code_17_falls,1.4150347843952946,1.1287316943878243,-0.28673978985386817,292,73
Friedrichshain-Kreuzberg,code_19_heart_problems,0.7974534834189092,0.6546552113547423,-0.139643773668356,292,73
Friedrichshain-Kreuzberg,code_28_stroke_tia,0.5517622975755633,0.43897001019216453,-0.4749360580605346,292,73
Lichtenberg,code_06_breathing,2.8827907522858816,2.4683871420304206,-2.2898757246494337,292,73
Lichtenberg,code_09_cardiac_arrest,0.3952186911640173,0.2969138830826166,-0.10568557116472532,292,73
Lichtenberg,code_10_chest_pain,1.0734050562060264,0.7866250816828895,-0.5371181117135588,292,73
Lichtenberg,code_17_falls,3.148177892983242,2.0212908098484164,-0.06857546609438891,292,73
Lichtenberg,code_19_heart_problems,0.7789498265096242,0.6413400544704974,-0.3583782087480505,292,73
Lichtenberg,code_28_stroke_tia,0.6435863588275913,0.5205268022491141,-0.4931828470435342,292,73
Marzahn-Hellersdorf,code_06_breathing,2.4767379025486096,2.0822623091114782,-1.5134342169834891,292,73
Marzahn-Hellersdorf,code_09_cardiac_arrest,0.3988037714366893,0.32225687532584324,0.06083570023774876,292,73
Marzahn-Hellersdorf,code_10_chest_pain,1.0505960111722779,0.8336554922148945,-0.7995980145847066,292,73
Marzahn-Hellersdorf,code_17_falls,3.3929429162228026,2.0469396609110064,-0.0423382752777095,292,73
Marzahn-Hellersdorf,code_19_heart_problems,1.1093943595770939,0.8133721081461452,-0.1690913480043077,292,73
Marzahn-Hellersdorf,code_28_stroke_tia,0.8271012418269238,0.6767304857944172,-0.018182378430649182,292,73
Mitte,code_06_breathing,1.6187440606468095,1.2720482725826183,-0.40502316165398167,292,73
Mitte,code_09_cardiac_arrest,0.4904817010156864,0.39445494624976835,-0.5173545723511288,292,73
Mitte,code_10_chest_pain,1.914178466786381,1.5016642387538988,-2.268632736240701,292,73
Mitte,code_17_falls,2.869973380114691,2.1427280420147556,0.04861366704229708,292,73
Mitte,code_19_heart_problems,1.531949987268426,1.1821472181581614,-1.832448559936974,292,73
Mitte,code_28_stroke_tia,0.9568331852396685,0.779464991236491,-0.48271482678080746,292,73
Neukölln,code_06_breathing,2.610618425570755,2.046144979776225,-1.5773593739200948,292,73
Neukölln,code_09_cardiac_arrest,0.4725625525886959,0.3896778892885127,-0.20301063941627717,292,73
Neukölln,code_10_chest_pain,0.9841726908300896,0.795036899733507,-0.18759966842529607,292,73
Neukölln,code_17_falls,2.817616106185691,1.9848222562310014,0.1284805378445133,292,73
Neukölln,code_19_heart_problems,1.186846377492305,0.9776665932258825,-0.540320319048629,292,73
Neukölln,code_28_stroke_tia,0.9490175799445267,0.7214188449167042,-0.15548989110508282,292,73
Pankow,code_06_breathing,2.1630451150070282,1.687901563687186,-0.898932158773236,292,73
Pankow,code_09_cardiac_arrest,0.3989864916333009,0.33484699767469256,-1.4288833451389547,292,73
Pankow,code_10_chest_pain,1.2568172847408607,1.048888406398956,-1.0784070642647023,292,73
Pankow,code_17_falls,3.5471407577029397,2.290399590583134,0.05081718398751622,292,73
Pankow,code_19_heart_problems,0.9914570616485143,0.8152297835995835,-0.4938980541556326,292,73
Pankow,code_28_stroke_tia,0.7985279249655692,0.6243272460982241,-0.20005609042699146,292,73
Reinickendorf,code_06_breathing,1.9161508304728443,1.563584427022143,-0.6678392997206211,292,73
Reinickendorf,code_09_cardiac_arrest,0.3647341651922037,0.29569936334641966,-0.03409117322037081,292,73
