date,pm25,pm10,no2,o3,so2,no,co,nh3,hcho,chocho,nmvoc,pans,dust,pm10_sea_salt,pm_wildfire,ec_residential,ec_total,pm25_nh4,pm25_no3,pm25_so4,pm25_om,sia,pm25_lag1,pm25_lag2,pm25_lag3,pm25_lag4,pm25_lag5,pm25_lag6,pm25_lag7,pm10_lag1,pm10_lag2,pm10_lag3,pm10_lag4,pm10_lag5,pm10_lag6,pm10_lag7,no2_lag1,no2_lag2,no2_lag3,no2_lag4,no2_lag5,no2_lag6,no2_lag7,o3_lag1,o3_lag2,o3_lag3,o3_lag4,o3_lag5,o3_lag6,o3_lag7,so2_lag1,so2_lag2,so2_lag3,so2_lag4,so2_lag5,so2_lag6,so2_lag7,no_lag1,no_lag2,no_lag3,no_lag4,no_lag5,no_lag6,no_lag7,co_lag1,co_lag2,co_lag3,co_lag4,co_lag5,co_lag6,co_lag7,nh3_lag1,nh3_lag2,nh3_lag3,nh3_lag4,nh3_lag5,nh3_lag6,nh3_lag7,dust_lag1,dust_lag2,dust_lag3,dust_lag4,dust_lag5,dust_lag6,dust_lag7
2025-01-01,8.270378112792969,10.398808479309082,5.763286113739014,57.27007293701172,1.1791760921478271,0.12290579080581665,165.6954803466797,0.4202464818954468,0.5100876688957214,0.015394089743494987,12.241968154907227,0.7077101469039917,1.150175929069519,0.2994023859500885,0.007800034713000059,0.08119119703769684,0.2022927850484848,0.7882707715034485,1.6424466371536255,0.9807901978492737,1.9129424095153809,3.4002444744110107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-02,3.986342191696167,7.39020299911499,5.821303367614746,67.29737854003906,1.394178032875061,0.1987190544605255,161.92800903320312,0.5399218797683716,0.19265387952327728,0.0032389643602073193,11.550500869750977,0.48833274841308594,0.09685076773166656,3.3758397102355957,0.00853881984949112,0.04365995153784752,0.09114189445972443,0.18078526854515076,0.2810172140598297,0.24650755524635315,0.8494260907173157,0.7653995752334595,8.270378112792969,,,,,,,10.398808479309082,,,,,,,5.763286113739014,,,,,,,57.27007293701172,,,,,,,1.1791760921478271,,,,,,,0.12290579080581665,,,,,,,165.6954803466797,,,,,,,0.4202464818954468,,,,,,,1.150175929069519,,,,,,
2025-01-03,3.310025453567505,5.944100379943848,4.965763568878174,70.60865783691406,1.318191409111023,0.13808126747608185,167.73028564453125,0.45453011989593506,0.15360549092292786,0.0019203557167202234,9.590319633483887,0.49483731389045715,0.0036811605095863342,2.469177722930908,0.01132985483855009,0.034439440816640854,0.07771239429712296,0.21928894519805908,0.4612792432308197,0.15720650553703308,0.5821223855018616,0.932922899723053,3.986342191696167,8.270378112792969,,,,,,7.39020299911499,10.398808479309082,,,,,,5.821303367614746,5.763286113739014,,,,,,67.29737854003906,57.27007293701172,,,,,,1.394178032875061,1.1791760921478271,,,,,,0.1987190544605255,0.12290579080581665,,,,,,161.92800903320312,165.6954803466797,,,,,,0.5399218797683716,0.4202464818954468,,,,,,0.09685076773166656,1.150175929069519,,,,,
2025-01-04,7.4064178466796875,10.627511024475098,8.955842018127441,61.17774200439453,1.8688697814941406,0.23004116117954254,204.6166534423828,0.6671740412712097,0.26882219314575195,0.0038474872708320618,14.010722160339355,0.5412214994430542,0.005066100507974625,2.301748275756836,0.009625846520066261,0.08692405372858047,0.166785329580307,0.6898604035377502,2.1034624576568604,0.29285311698913574,1.3208597898483276,3.312568187713623,3.310025453567505,3.986342191696167,8.270378112792969,,,,,5.944100379943848,7.39020299911499,10.398808479309082,,,,,4.965763568878174,5.821303367614746,5.763286113739014,,,,,70.60865783691406,67.29737854003906,57.27007293701172,,,,,1.318191409111023,1.394178032875061,1.1791760921478271,,,,,0.13808126747608185,0.1987190544605255,0.12290579080581665,,,,,167.73028564453125,161.92800903320312,165.6954803466797,,,,,0.45453011989593506,0.5399218797683716,0.4202464818954468,,,,,0.0036811605095863342,0.09685076773166656,1.150175929069519,,,,
2025-01-05,11.962138175964355,14.26923942565918,12.051204681396484,44.44404602050781,2.88177227973938,0.2620592713356018,243.10275268554688,0.2424927055835724,0.3802557587623596,0.0071423109620809555,18.104169845581055,0.5382107496261597,0.11863153427839279,0.6457969546318054,0.004416059702634811,0.17780540883541107,0.3301100432872772,1.3686456680297852,4.097737789154053,0.6010586619377136,2.644101142883301,6.2957234382629395,7.4064178466796875,3.310025453567505,3.986342191696167,8.270378112792969,,,,10.627511024475098,5.944100379943848,7.39020299911499,10.398808479309082,,,,8.955842018127441,4.965763568878174,5.821303367614746,5.763286113739014,,,,61.17774200439453,70.60865783691406,67.29737854003906,57.27007293701172,,,,1.8688697814941406,1.318191409111023,1.394178032875061,1.1791760921478271,,,,0.23004116117954254,0.13808126747608185,0.1987190544605255,0.12290579080581665,,,,204.6166534423828,167.73028564453125,161.92800903320312,165.6954803466797,,,,0.6671740412712097,0.45453011989593506,0.5399218797683716,0.4202464818954468,,,,0.005066100507974625,0.0036811605095863342,0.09685076773166656,1.150175929069519,,,
2025-01-06,4.9856276512146,6.8527655601501465,9.284334182739258,52.60595703125,1.6928843259811401,0.20173098146915436,171.2428741455078,0.442491352558136,0.41002118587493896,0.009425003081560135,12.576934814453125,0.4465568959712982,0.916408896446228,0.2996097505092621,0.0044652363285422325,0.0728117898106575,0.16118255257606506,0.3977607190608978,0.6760279536247253,0.7298725247383118,1.3222123384475708,1.9180686473846436,11.962138175964355,7.4064178466796875,3.310025453567505,3.986342191696167,8.270378112792969,,,14.26923942565918,10.627511024475098,5.944100379943848,7.39020299911499,10.398808479309082,,,12.051204681396484,8.955842018127441,4.965763568878174,5.821303367614746,5.763286113739014,,,44.44404602050781,61.17774200439453,70.60865783691406,67.29737854003906,57.27007293701172,,,2.88177227973938,1.8688697814941406,1.318191409111023,1.394178032875061,1.1791760921478271,,,0.2620592713356018,0.23004116117954254,0.13808126747608185,0.1987190544605255,0.12290579080581665,,,243.10275268554688,204.6166534423828,167.73028564453125,161.92800903320312,165.6954803466797,,,0.2424927055835724,0.6671740412712097,0.45453011989593506,0.5399218797683716,0.4202464818954468,,,0.11863153427839279,0.005066100507974625,0.0036811605095863342,0.09685076773166656,1.150175929069519,,
2025-01-07,2.5546393394470215,4.399679660797119,6.245993614196777,66.31851959228516,1.4804884195327759,0.21492889523506165,170.11386108398438,0.4812707304954529,0.22795715928077698,0.005017418414354324,12.228047370910645,0.44961172342300415,0.029866548255085945,1.0162177085876465,0.0015192634891718626,0.05370509624481201,0.10323808342218399,0.14454635977745056,0.1897013932466507,0.23624207079410553,0.8869122862815857,0.6031950116157532,4.9856276512146,11.962138175964355,7.4064178466796875,3.310025453567505,3.986342191696167,8.270378112792969,,6.8527655601501465,14.26923942565918,10.627511024475098,5.944100379943848,7.39020299911499,10.398808479309082,,9.284334182739258,12.051204681396484,8.955842018127441,4.965763568878174,5.821303367614746,5.763286113739014,,52.60595703125,44.44404602050781,61.17774200439453,70.60865783691406,67.29737854003906,57.27007293701172,,1.6928843259811401,2.88177227973938,1.8688697814941406,1.318191409111023,1.394178032875061,1.1791760921478271,,0.20173098146915436,0.2620592713356018,0.23004116117954254,0.13808126747608185,0.1987190544605255,0.12290579080581665,,171.2428741455078,243.10275268554688,204.6166534423828,167.73028564453125,161.92800903320312,165.6954803466797,,0.442491352558136,0.2424927055835724,0.6671740412712097,0.45453011989593506,0.5399218797683716,0.4202464818954468,,0.916408896446228,0.11863153427839279,0.005066100507974625,0.0036811605095863342,0.09685076773166656,1.150175929069519,
2025-01-08,4.275213241577148,6.517275333404541,9.937649726867676,54.12980651855469,1.7024023532867432,0.304319828748703,203.1712646484375,0.4820117950439453,0.24596062302589417,0.00431949645280838,16.130207061767578,0.5098260641098022,0.008032217621803284,1.1678411960601807,0.005463021341711283,0.07330365478992462,0.1504632830619812,0.3831574618816376,0.8362083435058594,0.2858746349811554,1.0853350162506104,1.5411821603775024,2.5546393394470215,4.9856276512146,11.962138175964355,7.4064178466796875,3.310025453567505,3.986342191696167,8.270378112792969,4.399679660797119,6.8527655601501465,14.26923942565918,10.627511024475098,5.944100379943848,7.39020299911499,10.398808479309082,6.245993614196777,9.284334182739258,12.051204681396484,8.955842018127441,4.965763568878174,5.821303367614746,5.763286113739014,66.31851959228516,52.60595703125,44.44404602050781,61.17774200439453,70.60865783691406,67.29737854003906,57.27007293701172,1.4804884195327759,1.6928843259811401,2.88177227973938,1.8688697814941406,1.318191409111023,1.394178032875061,1.1791760921478271,0.21492889523506165,0.20173098146915436,0.2620592713356018,0.23004116117954254,0.13808126747608185,0.1987190544605255,0.12290579080581665,170.11386108398438,171.2428741455078,243.10275268554688,204.6166534423828,167.73028564453125,161.92800903320312,165.6954803466797,0.4812707304954529,0.442491352558136,0.2424927055835724,0.6671740412712097,0.45453011989593506,0.5399218797683716,0.4202464818954468,0.029866548255085945,0.916408896446228,0.11863153427839279,0.005066100507974625,0.0036811605095863342,0.09685076773166656,1.150175929069519
2025-01-09,6.418144702911377,7.999630928039551,13.567188262939453,37.61399459838867,2.6095662117004395,0.8153776526451111,245.9003143310547,0.26980289816856384,0.35188165307044983,0.004279749002307653,28.862300872802734,0.4927041530609131,0.007007524371147156,0.27439332008361816,0.002558588981628418,0.1176462322473526,0.2293580174446106,0.5408309102058411,1.328412413597107,0.5430407524108887,1.7032463550567627,2.506268262863159,4.275213241577148,2.5546393394470215,4.9856276512146,11.962138175964355,7.4064178466796875,3.310025453567505,3.986342191696167,6.517275333404541,4.399679660797119,6.8527655601501465,14.26923942565918,10.627511024475098,5.944100379943848,7.39020299911499,9.937649726867676,6.245993614196777,9.284334182739258,12.051204681396484,8.955842018127441,4.965763568878174,5.821303367614746,54.12980651855469,66.31851959228516,52.60595703125,44.44404602050781,61.17774200439453,70.60865783691406,67.29737854003906,1.7024023532867432,1.4804884195327759,1.6928843259811401,2.88177227973938,1.8688697814941406,1.318191409111023,1.394178032875061,0.304319828748703,0.21492889523506165,0.20173098146915436,0.2620592713356018,0.23004116117954254,0.13808126747608185,0.1987190544605255,203.1712646484375,170.11386108398438,171.2428741455078,243.10275268554688,204.6166534423828,167.73028564453125,161.92800903320312,0.4820117950439453,0.4812707304954529,0.442491352558136,0.2424927055835724,0.6671740412712097,0.45453011989593506,0.5399218797683716,0.008032217621803284,0.029866548255085945,0.916408896446228,0.11863153427839279,0.005066100507974625,0.0036811605095863342,0.09685076773166656
2025-01-10,6.252065181732178,8.327811241149902,9.535908699035645,53.11222457885742,1.4211835861206055,0.24587909877300262,196.62290954589844,0.31530433893203735,0.2225448042154312,0.0034722317941486835,16.542726516723633,0.49829354882240295,0.0196085125207901,1.2411962747573853,0.010008307173848152,0.05282113701105118,0.12956006824970245,0.6073686480522156,1.695658564567566,0.2521083652973175,0.9284286499023438,2.650359869003296,6.418144702911377,4.275213241577148,2.5546393394470215,4.9856276512146,11.962138175964355,7.4064178466796875,3.310025453567505,7.999630928039551,6.517275333404541,4.399679660797119,6.8527655601501465,14.26923942565918,10.627511024475098,5.944100379943848,13.567188262939453,9.937649726867676,6.245993614196777,9.284334182739258,12.051204681396484,8.955842018127441,4.965763568878174,37.61399459838867,54.12980651855469,66.31851959228516,52.60595703125,44.44404602050781,61.17774200439453,70.60865783691406,2.6095662117004395,1.7024023532867432,1.4804884195327759,1.6928843259811401,2.88177227973938,1.8688697814941406,1.318191409111023,0.8153776526451111,0.304319828748703,0.21492889523506165,0.20173098146915436,0.2620592713356018,0.23004116117954254,0.13808126747608185,245.9003143310547,203.1712646484375,170.11386108398438,171.2428741455078,243.10275268554688,204.6166534423828,167.73028564453125,0.26980289816856384,0.4820117950439453,0.4812707304954529,0.442491352558136,0.2424927055835724,0.6671740412712097,0.45453011989593506,0.007007524371147156,0.008032217621803284,0.029866548255085945,0.916408896446228,0.11863153427839279,0.005066100507974625,0.0036811605095863342
