date,district,population,pop_density,pm25,pm10,no2,o3,so2,aq_score,density_factor,ems_factor,risk_score,risk_level
2025-10-20,Charlottenburg-Wilmersdorf,344207,5316.8,8.096358299255371,10.143074989318848,11.23665714263916,52.52494812011719,2.7646713256835938,0.4436,0.3645,0.8099,0.5075,Medium
2025-10-20,Friedrichshain-Kreuzberg,294099,14588.2,7.950948238372803,9.83126735687256,10.25198459625244,54.109466552734375,2.7919600009918213,0.4325,1.0,0.6725,0.6911,High
2025-10-20,Lichtenberg,298187,5702.6,7.983802318572998,9.608716011047363,8.768889427185059,55.603458404541016,2.956131219863892,0.4209,0.3909,0.8454,0.5165,Medium
2025-10-20,Marzahn-Hellersdorf,265225,4295.8,7.708275318145752,9.377233505249023,8.15253734588623,56.3554801940918,3.310782194137573,0.4095,0.2945,0.8954,0.4907,Medium
2025-10-20,Mitte,386181,9784.2,8.096358299255371,10.143074989318848,11.23665714263916,52.52494812011719,2.7646713256835938,0.4436,0.6707,0.8507,0.6249,High
2025-10-20,Neukölln,328826,7318.6,7.486485958099365,9.24209690093994,8.718995094299316,55.9368896484375,2.295128583908081,0.4074,0.5017,0.8211,0.5438,Medium
2025-10-20,Pankow,415257,4031.2,7.950948238372803,9.83126735687256,10.25198459625244,54.109466552734375,2.7919600009918213,0.4325,0.2763,0.628,0.4267,Medium
2025-10-20,Reinickendorf,268568,3001.1,8.096358299255371,10.143074989318848,11.23665714263916,52.52494812011719,2.7646713256835938,0.4436,0.2057,0.8529,0.4627,Medium
2025-10-20,Spandau,243977,2654.5,7.962234973907471,10.09372615814209,12.065295219421388,51.37418746948242,2.561288595199585,0.446,0.182,0.9085,0.4692,Medium
2025-10-20,Steglitz-Zehlendorf,308080,3006.0,7.241122722625732,9.097771644592283,8.948177337646484,54.35763168334961,1.9972623586654663,0.4,0.2061,0.7783,0.4267,Medium
2025-10-20,Tempelhof-Schöneberg,359199,6765.9,7.5635504722595215,9.457345008850098,9.276287078857422,53.83340072631836,2.1793501377105717,0.4112,0.4638,0.7414,0.5122,Medium
2025-10-20,Treptow-Köpenick,275469,1635.6,7.480119228363037,9.126303672790527,7.539382934570312,57.36067581176758,2.5110538005828857,0.3982,0.1121,0.882,0.419,Medium
2025-10-21,Charlottenburg-Wilmersdorf,344207,5316.8,6.758668899536133,8.463143348693848,11.025588989257812,53.12069320678711,1.7147574424743652,0.4046,0.3645,0.8097,0.4918,Medium
2025-10-21,Friedrichshain-Kreuzberg,294099,14588.2,6.459438323974609,8.411081314086914,10.46041202545166,53.96622848510742,1.6993478536605835,0.3934,1.0,0.6501,0.6699,High
2025-10-21,Lichtenberg,298187,5702.6,6.4372639656066895,8.309670448303223,8.723438262939453,55.67110824584961,1.5511285066604614,0.3784,0.3909,0.8231,0.494,Medium
2025-10-21,Marzahn-Hellersdorf,265225,4295.8,5.973335266113281,8.079876899719238,7.360284328460693,56.76116943359375,1.4556602239608765,0.3553,0.2945,0.8431,0.456,Medium
2025-10-21,Mitte,386181,9784.2,6.758668899536133,8.463143348693848,11.025588989257812,53.12069320678711,1.7147574424743652,0.4046,0.6707,0.8617,0.612,High
2025-10-21,Neukölln,328826,7318.6,5.987800121307373,8.014216423034668,8.001550674438477,55.95767211914063,1.3604456186294556,0.3601,0.5017,0.8641,0.5357,Medium
2025-10-21,Pankow,415257,4031.2,6.459438323974609,8.411081314086914,10.46041202545166,53.96622848510742,1.6993478536605835,0.3934,0.2763,0.6365,0.4132,Medium
2025-10-21,Reinickendorf,268568,3001.1,6.758668899536133,8.463143348693848,11.025588989257812,53.12069320678711,1.7147574424743652,0.4046,0.2057,0.9274,0.4657,Medium
2025-10-21,Spandau,243977,2654.5,6.380247116088867,8.167232513427734,10.888954162597656,53.3133659362793,1.5499520301818848,0.3936,0.182,0.9304,0.4537,Medium
2025-10-21,Steglitz-Zehlendorf,308080,3006.0,5.807959079742432,7.837234020233154,7.981584072113037,55.86524963378906,1.2124565839767456,0.3547,0.2061,0.8099,0.4165,Medium
2025-10-21,Tempelhof-Schöneberg,359199,6765.9,6.132254123687744,7.997181415557861,8.574775695800781,54.81303787231445,1.443009376525879,0.3669,0.4638,0.7531,0.4974,Medium
2025-10-21,Treptow-Köpenick,275469,1635.6,5.921962261199951,7.94685173034668,7.305099964141846,56.66508483886719,1.3181706666946411,0.3527,0.1121,0.8814,0.4007,Medium
2025-10-22,Charlottenburg-Wilmersdorf,344207,5316.8,7.080669403076172,10.23068904876709,17.484962463378906,26.13094139099121,2.122102737426758,0.4291,0.3645,0.8654,0.5156,Medium
2025-10-22,Friedrichshain-Kreuzberg,294099,14588.2,7.127361297607422,10.349204063415527,17.284265518188477,26.28436279296875,2.1248600482940674,0.4289,1.0,0.6576,0.686,High
2025-10-22,Lichtenberg,298187,5702.6,7.223423480987549,10.544293403625488,15.25318431854248,27.308034896850582,1.9939168691635127,0.4133,0.3909,0.8692,0.5194,Medium
2025-10-22,Marzahn-Hellersdorf,265225,4295.8,6.931737422943115,10.226935386657717,12.439482688903809,28.256006240844727,1.6998019218444824,0.3789,0.2945,0.8126,0.4578,Medium
2025-10-22,Mitte,386181,9784.2,7.080669403076172,10.23068904876709,17.484962463378906,26.13094139099121,2.122102737426758,0.4291,0.6707,0.8862,0.6279,High
2025-10-22,Neukölln,328826,7318.6,6.443471431732178,9.598278999328612,12.353039741516112,29.47850799560547,1.7192773818969729,0.367,0.5017,0.79,0.5199,Medium
2025-10-22,Pankow,415257,4031.2,7.127361297607422,10.349204063415527,17.284265518188477,26.28436279296875,2.1248600482940674,0.4289,0.2763,0.6142,0.4218,Medium
2025-10-22,Reinickendorf,268568,3001.1,7.080669403076172,10.23068904876709,17.484962463378906,26.13094139099121,2.122102737426758,0.4291,0.2057,0.9618,0.4841,Medium
2025-10-22,Spandau,243977,2654.5,6.4107184410095215,9.289898872375488,15.731213569641112,27.818559646606445,1.820684552192688,0.3958,0.182,0.9361,0.456,Medium
2025-10-22,Steglitz-Zehlendorf,308080,3006.0,5.886327743530273,8.500261306762695,11.302510261535645,30.4514217376709,1.4339786767959597,0.3414,0.2061,0.8371,0.418,Medium
2025-10-22,Tempelhof-Schöneberg,359199,6765.9,6.317928791046143,9.250699996948242,12.770407676696776,29.678895950317383,1.6860113143920898,0.3674,0.4638,0.7887,0.5065,Medium
2025-10-22,Treptow-Köpenick,275469,1635.6,6.536046504974365,9.65870475769043,12.189858436584473,29.48335266113281,1.6577404737472534,0.3676,0.1121,0.8672,0.4031,Medium
