antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_str,consequent_str
frozenset({'pm25_good'}),frozenset({'ctrl_29_traffic_accident_elevated'}),0.5565410199556541,0.2660753880266075,0.16925351071692535,0.3041168658698539,1.1429725542275344,1.0,0.02117164287950077,1.0546664748396268,0.2820742358078604,0.25904977375565613,0.05183295017312426,0.4701139884904826,pm25_good,ctrl_29_traffic_accident_elevated
"frozenset({'o3_moderate', 'pm25_good'})",frozenset({'ctrl_29_traffic_accident_elevated'}),0.21433850702143384,0.2660753880266075,0.06873614190687362,0.3206896551724138,1.2052586206896554,1.0,0.01170594048210187,1.0803966369151463,0.21676326889812786,0.16696588868940757,0.07441400145848533,0.2895114942528736,"o3_moderate, pm25_good",ctrl_29_traffic_accident_elevated
"frozenset({'o3_moderate', 'pm25_good'})","frozenset({'ctrl_29_traffic_accident_elevated', 'no2_low'})",0.21433850702143384,0.21212121212121213,0.06873614190687362,0.3206896551724138,1.5118226600985223,1.0,0.023270397993236137,1.1598215659129365,0.43090664481736624,0.1921487603305785,0.13779840848806368,0.3223657335095519,"o3_moderate, pm25_good","ctrl_29_traffic_accident_elevated, no2_low"
