outcome,climate_var,lag,coef,ci_low,ci_high,pval,r2,n,pval_fdr,significant
response_time_ems_critical_mean,pm25,0,3.5552768712436946,1.3965061342540857,5.714047608233304,0.0013624217375931558,0.5941209521383402,365,0.0017643828527985628,True
response_time_ems_critical_mean,pm10,0,3.482131386104167,1.5744830927391154,5.389779679469219,0.0003944700417570779,0.5946270532402178,365,0.0009861751043926947,True
response_time_ems_critical_mean,no2,0,8.01430264198436,3.6357045099814638,12.392900773987256,0.0003804884371614303,0.6173602391725321,365,0.0009861751043926947,True
response_time_ems_critical_mean,o3,0,0.7912763433483999,-2.8626869779700876,4.445239664666888,0.6714979382841899,0.5835513189962571,365,0.6714979382841899,False
response_time_ems_critical_mean,so2,0,4.425508742581861,1.7296145945758457,7.121402890587875,0.0014115062822388502,0.5996613054186856,365,0.0017643828527985628,True
