outcome,climate_var,lag,coef,ci_low,ci_high,pval,aic,n,cv_std,pval_fdr,significant
code_13_blood_sugar,pm25,1,0.012196849570210319,-0.11074428270757276,0.13513798184799342,0.8458268369526701,2413.07324484292,364,6.807719563240271,0.9986277772383971,False
code_13_blood_sugar,pm10,1,0.008638007906641453,-0.10916492883082718,0.1264409446441101,0.885724618618887,2413.0895681504567,364,7.50550194533776,0.9986277772383971,False
code_13_blood_sugar,no2,1,0.014215480585749903,-0.13977308200001645,0.16820404317151624,0.8564190580176346,2413.077047012125,364,5.004050188200986,0.9986277772383971,False
code_13_blood_sugar,o3,3,0.030234032323444387,-0.14225526446886513,0.2027233291157539,0.7311894569769957,2398.76627081841,362,19.97270054418291,0.9986277772383971,False
code_13_blood_sugar,so2,1,0.01404780933700343,-0.1107988848139655,0.13889450348797236,0.8254536772485886,2413.0623024870347,364,1.037835984656658,0.9986277772383971,False
code_18_headache,pm25,3,-0.011943744106978516,-0.13549731623374314,0.11160982801978611,0.8497269205947497,2505.6399450823837,362,6.817007806330225,0.9986277772383971,False
code_18_headache,pm10,3,-0.01214542879197435,-0.13027759979378714,0.10598674220983845,0.8403012059014299,2505.6353872293175,362,7.514977112319724,0.9986277772383971,False
code_18_headache,no2,3,0.006667264610398873,-0.14825009690767663,0.16158462612847438,0.9327765222749186,2505.6678630598262,362,5.015050146320838,0.9986277772383971,False
code_18_headache,o3,3,-0.02397027884389763,-0.1952818972871301,0.14734133959933485,0.783898463499278,2505.600278694756,362,19.97270054418291,0.9986277772383971,False
code_18_headache,so2,3,-0.004248996015988011,-0.12962133135012716,0.12112333931815113,0.9470393286807098,2505.6703559321413,362,1.0385142798119393,0.9986277772383971,False
mission_count_ems,pm25,0,0.0034270374903636433,-0.11359673563647332,0.12045081061720062,0.9542285677958542,6023.396972362529,365,6.799861062318877,0.9986277772383971,False
mission_count_ems,pm10,0,0.004850045168877399,-0.10718447118325239,0.11688456152100718,0.93238216725356,6023.393094003139,365,7.497671544943006,0.9986277772383971,False
mission_count_ems,no2,0,0.01020664483432246,-0.13864836819231963,0.15906165786096454,0.8930940236647151,6023.382271904124,365,4.997187539864492,0.9986277772383971,False
mission_count_ems,o3,0,0.011972745505198768,-0.1482007746414889,0.17214626565188645,0.8835230958540171,6023.378669570713,365,19.895244604658263,0.9986277772383971,False
mission_count_ems,so2,0,0.00031986456228519713,-0.11821108877369242,0.11885081789826281,0.9957799220052341,6023.400208224928,365,1.0374242464884071,0.9986277772383971,False
mission_count_ems_critical,pm25,0,0.03771060717719002,-0.07932394522043415,0.1547451595748142,0.5276906832889667,5696.733457212906,365,6.799861062318877,0.9986277772383971,False
mission_count_ems_critical,pm10,0,0.03758928125498554,-0.07445649515363656,0.14963505766360766,0.5108391658903984,5696.697782605814,365,7.497671544943006,0.9986277772383971,False
mission_count_ems_critical,no2,0,0.042463387968648104,-0.1064107208280329,0.1913374967653291,0.5761338288351503,5696.824422280413,365,4.997187539864492,0.9986277772383971,False
mission_count_ems_critical,o3,0,0.016566244004805625,-0.14364011853064457,0.17677260654025584,0.8393919088573865,5697.091190985866,365,19.895244604658263,0.9986277772383971,False
mission_count_ems_critical,so2,0,0.033463626593282295,-0.08508059404991923,0.1520078472364838,0.5800754103518388,5696.82307565514,365,1.0374242464884071,0.9986277772383971,False
mission_count_ems_critical_cpr,pm25,0,0.007681291036419728,-0.11321305143088084,0.12857563350372028,0.9008951161361982,2627.393916796117,365,6.799861062318877,0.9986277772383971,False
mission_count_ems_critical_cpr,pm10,0,0.010249665657464954,-0.10553995675055489,0.12603928806548478,0.8622619843592102,2627.3783391209786,365,7.497671544943006,0.9986277772383971,False
mission_count_ems_critical_cpr,no2,0,-0.018288836993663384,-0.17222399422975332,0.13564632024242657,0.815869509051411,2627.3555603600184,365,4.997187539864492,0.9986277772383971,False
mission_count_ems_critical_cpr,o3,0,0.032806778845044425,-0.13348267424057828,0.19909623193066714,0.698996244328605,2627.254893539878,365,19.895244604658263,0.9986277772383971,False
mission_count_ems_critical_cpr,so2,0,-0.005548304835812791,-0.12818442903783994,0.11708781936621435,0.9293420202003893,2627.4019208472864,365,1.0374242464884071,0.9986277772383971,False
