outcome,climate_var,lag,coef,se_hac,ci_low,ci_high,pval,r2,n,pval_fdr,significant
code_06_breathing,pm25,0,0.1209918148004418,0.10338501500535476,-0.08164281461005352,0.3236264442109371,0.24194292031477893,0.287754839220119,4380,0.5806630087554694,False
code_06_breathing,pm10,0,0.13870034862878644,0.09836922867972876,-0.05410333958348193,0.3315040368410548,0.1586117886363998,0.2880487775349255,4380,0.4758353659091994,False
code_06_breathing,no2,0,-0.032608917748894295,0.09293795067102838,-0.2147673010641099,0.14954946556632132,0.7257046107648575,0.2871054646578435,4380,0.8540636836893999,False
code_17_falls,pm25,0,-0.05629335391320217,0.12462169517935245,-0.30055187646473297,0.18796516863832863,0.6514975554854014,0.2081081734110436,4380,0.8540636836893999,False
code_17_falls,pm10,0,-0.032701568861745745,0.11492105139499942,-0.2579468295959446,0.1925436918724531,0.7759972080077684,0.208061469513816,4380,0.8540636836893999,False
code_17_falls,no2,0,0.06457418167433515,0.16039647023680123,-0.24980289998979527,0.37895126333846557,0.6872688352224485,0.20809782009872502,4380,0.8540636836893999,False
code_31_loss_of_consciousness,pm25,0,0.16783455567976618,0.09527538375414547,-0.01890519647835895,0.35457430783789134,0.07821150865651338,0.35469565398599523,4380,0.31284603462605354,False
code_31_loss_of_consciousness,pm10,0,0.20897040998514738,0.09545854974226835,0.02187165249030143,0.3960691674799933,0.02864080591092777,0.35536399003591534,4380,0.17184483546556661,False
code_31_loss_of_consciousness,no2,0,0.258858047768203,0.10121370792694265,0.060479180231395396,0.45723691530501054,0.010575093104572275,0.3552339156853769,4380,0.1269011172548673,False
code_09_cardiac_arrest,pm25,0,-0.005646672326066901,0.02049091092147519,-0.04580885773215827,0.03451551308002447,0.7828917100486166,0.033597824574908675,4380,0.8540636836893999,False
code_09_cardiac_arrest,pm10,0,-0.0016332010314181918,0.020357865286039025,-0.041534616992054685,0.038268214929218294,0.936062328534323,0.033577609105962525,4380,0.936062328534323,False
code_09_cardiac_arrest,no2,0,-0.02190072191471594,0.02247040326183491,-0.06594271230791236,0.022141268478480483,0.3297892112974672,0.033794202993443156,4380,0.6595784225949344,False
